ngay,ma,kn_gia_tri,kn_khoi_luong
2026-08-28,ACB,16973321100,749374
2026-08-28,AGR,28245000,2100
2026-08-28,ANV,-404200000,-23500
2026-08-28,BID,-4676080750,-126895
2026-08-28,BSI,-1781200000,-61000
2026-08-28,BSR,25159876000,945860
2026-08-28,BVH,-1280000000,-20000
2026-08-28,CTD,1070740000,17050
2026-08-28,CTG,5257915650,164567
2026-08-28,CTS,-9091893000,-390210
2026-08-28,DBC,389968800,22412
2026-08-28,DCM,-1781649200,-57752
2026-08-28,DGC,-17784800000,-413600
2026-08-28,DGW,-3008100400,-71282
2026-08-28,DIG,-10891491600,-955394
2026-08-28,DPM,-544060000,-24730
2026-08-28,DXG,-16341606600,-1350546
2026-08-28,EIB,-3698117200,-213764
2026-08-28,FPT,240007501200,3278791
2026-08-28,FRT,-4319515400,-29606
2026-08-28,FTS,-942828250,-41443
2026-08-28,GAS,-6907768000,-82040
2026-08-28,GEX,-6407221550,-242239
2026-08-28,GMD,-5175609000,-65102
2026-08-28,HAH,-5284800000,-110100
2026-08-28,HCM,256097550,9831
2026-08-28,HDB,2778915800,99961
2026-08-28,HDG,-9567373050,-574617
2026-08-28,HPG,4963129600,224576
2026-08-28,HSG,849011900,77891
2026-08-28,IJC,14820000,2000
2026-08-28,KBC,-4490284600,-163879
2026-08-28,KDH,-8204250600,-450783
2026-08-28,LPB,20629350000,413000
2026-08-28,MBB,31665515000,1504300
2026-08-28,MBS,-119446700,-6673
2026-08-28,MCH,71593093000,500651
2026-08-28,MSB,-55057402500,-4124150
2026-08-28,MSN,30803268600,438793
2026-08-28,MWG,82500000,1100
2026-08-28,NAB,250496400,21688
2026-08-28,NKG,141255000,12900
2026-08-28,NLG,-4631580000,-190600
2026-08-28,NT2,-6081785000,-290300
2026-08-28,NVL,-9528340050,-730141
2026-08-28,OCB,794959000,72269
2026-08-28,ORS,-3145335000,-227100
2026-08-28,PDR,-21000813600,-1693614
2026-08-28,PLX,1504375000,41500
2026-08-28,PNJ,21865771700,519377
2026-08-28,POW,-43836215600,-3346276
2026-08-28,PVD,-442020300,-23082
2026-08-28,PVS,23461416000,592460
2026-08-28,SAB,2415386400,52969
2026-08-28,SHB,61748116200,5061321
2026-08-28,SSB,47507869800,2778238
2026-08-28,SSI,-28064617700,-1314502
2026-08-28,STB,78692970500,1042291
2026-08-28,SZC,-206850000,-10500
2026-08-28,TCB,213288792800,6385892
2026-08-28,TPB,-5638916850,-384909
2026-08-28,VCB,-30839714000,-513140
2026-08-28,VCI,-12959354650,-567149
2026-08-28,VHC,-4083598000,-78380
2026-08-28,VHM,-55185080000,-755960
2026-08-28,VIB,-5767710000,-385800
2026-08-28,VIC,-160217332000,-678887
2026-08-28,VIX,-68749865700,-4875877
2026-08-28,VJC,-3619125000,-28953
2026-08-28,VND,-9747159750,-585415
2026-08-28,VNM,25940847800,416386
2026-08-28,VPB,113158621200,4070454
2026-08-28,VRE,18225577800,698298
2026-08-28,VSC,-7263270000,-494100
2026-08-28,VTP,1647800000,30800
2026-09-03,ACB,-81670514400,-3678852
2026-09-03,AGR,-5280000,-400
2026-09-03,ANV,495635000,28900
2026-09-03,BID,-2991597300,-82074
2026-09-03,BSI,-200362500,-6850
2026-09-03,BSR,29317368500,1089865
2026-09-03,BVH,-6826650000,-106500
2026-09-03,CTD,-437360000,-7100
2026-09-03,CTG,-15797470500,-501507
